target,model,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Recall@90%Prec_mean,Recall@90%Prec_std,Brier_mean,Brier_std,CalibSlope_mean,CalibSlope_std,fit_seconds_mean,fit_seconds_std
htn_now,CatBoost,0.9651,0.012,0.9317,0.0194,0.8942,0.0157,0.0226,0.004,0.701,0.0803,1.728,0.0421
htn_now,LightGBM,0.9663,0.012,0.9238,0.0253,0.8858,0.0178,0.0247,0.0034,0.3101,0.0347,0.866,0.105
htn_now,LogisticRegression,0.955,0.0073,0.8908,0.0138,0.8134,0.0532,0.0577,0.0058,1.0023,0.0944,0.05,0.0122
htn_now,RandomForest,0.9642,0.0105,0.9227,0.0184,0.8914,0.0113,0.0246,0.0022,1.0838,0.1101,3.512,0.2361
htn_now,XGBoost,0.9656,0.0123,0.9277,0.0221,0.8942,0.027,0.0228,0.004,0.6062,0.0754,0.566,0.1313
htn_stage>=1,CatBoost,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.6783,0.1381,1.604,0.0541
htn_stage>=1,LightGBM,1.0,0.0,1.0,0.0,1.0,0.0,0.0007,0.0009,1.4184,0.5968,0.708,0.2657
htn_stage>=1,LogisticRegression,0.9975,0.0044,0.9944,0.0054,0.9884,0.0121,0.0101,0.0023,1.5137,0.4045,0.076,0.075
htn_stage>=1,RandomForest,1.0,0.0,1.0,0.0,1.0,0.0,0.0027,0.0007,9.001,5.0928,3.638,0.4546
htn_stage>=1,XGBoost,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.7914,0.1629,0.34,0.0552
treat,CatBoost,0.8358,0.0595,0.1527,0.0457,0.0222,0.0497,0.0178,0.0016,0.4775,0.0797,1.694,0.1141
treat,LightGBM,0.7897,0.0814,0.1616,0.0843,0.0472,0.0648,0.0174,0.0016,0.2562,0.0808,0.8,0.0292
treat,LogisticRegression,0.823,0.0464,0.1589,0.0692,0.025,0.0559,0.1237,0.0226,0.5166,0.1758,0.082,0.0228
treat,RandomForest,0.8688,0.0386,0.1533,0.0571,0.0222,0.0497,0.0151,0.001,0.7035,0.3715,3.994,0.3405
treat,XGBoost,0.8267,0.061,0.1992,0.0859,0.0472,0.0648,0.0162,0.0023,0.4476,0.0718,0.506,0.0654
htn_now,LightGBM (tuned),0.9622,0.0128,0.9283,0.0218,0.8914,0.0358,0.0419,0.0213,2.4349,1.4246,,
