feature,perm_importance_mean,perm_importance_std
bp_diastolic,0.02492035742035741,0.0063668354105004005
bp_spl_5,0.011635586635586614,0.005607179149437316
bp_spl_2,0.01128205128205123,0.004858537148233832
cardiometabolic_composite,0.010977078477078494,0.004179860225049625
bp_spl_4,0.010895493395493349,0.004729315696333635
bp_systolic,0.010691530691530693,0.005322123527110127
MAP,0.009648407148407135,0.00672247162303497
bp_spl_3,0.007072649572649558,0.006673795832859112
bp_systolic_bin_woe,0.0057459207459207625,0.003238026634718615
hc_code_te,0.004388111888111867,0.0035987431841058336
phenotype_cluster_woe,0.0039996114996115,0.00435467562237842
pulse_pressure,0.003978243978243923,0.005340628517587827
hc_code_te_oof,0.0025679875679875397,0.004443167371577715
anomaly_score,0.0021445221445220873,0.003489754342623353
alcohol,0.002068764568764536,0.0018804030842107322
isolated_systolic,0.0019696969696969433,0.0004312354312354163
phenotype_cluster,0.001888111888111854,0.003371668614638319
overweight,0.0018259518259518658,0.00031989415462688
age_x_overweight,0.001645299145299084,0.0010886350033677001
alcohol_woe,0.0007264957264957128,0.0014186968218665608
pp_tertile_woe,0.0007206682206681414,0.001306177652476746
hc4,0.0005031080031079993,0.0005678255811494445
lifestyle_risk,0.0004797979797979579,0.0015972528595958595
female_x_overweight,0.00043123543123542164,0.00021835657337058396
is_anomaly,0.00042346542346545225,0.002618645362706674
age_category_woe,0.00041375291375290725,0.00021456514542816292
smoke,0.00039432789432788387,0.0001354329293982518
bpmdate6mo,0.00021950271950267332,7.373835623971197e-05
bpmdate6mo_woe,0.0002039627039626568,0.00010997031744148395
marital_status,3.885003885002458e-05,0.00048686709963184123
overweight_woe,1.7482517482469984e-05,0.00022859707515501297
exercise,1.1655011654965187e-05,0.00045099524043302043
bp_systolic_was_missing,0.0,0.0
bp_spl_1,0.0,0.0
overweight_was_missing,0.0,0.0
bp_diastolic_was_missing,0.0,0.0
marital_status_was_missing,0.0,0.0
hypertensive_urgency,-8.935508935502545e-05,0.0011974134080159741
female,-0.00033799533799536705,0.000331160976241269
marital_status_woe,-0.0003885003885003901,0.0007911970417411395
artyr,-0.00043512043512049513,0.001279022109520972
pp_x_overweight,-0.0006177156177156418,0.000836034421798152
age_category,-0.0010780885780885762,0.002429001396715506
artyr_x_age,-0.0014355089355089778,0.003273314052174803
